date,age,gender,household_size,employment_status,covid_dangerous_for_me,likely_to_get_covid,trust_in_government_handling,important_to_improve_health,life_affected_by_covid,mask_policy,gathering_restriction,cancel_public_events,stay_home_requirement,public_information_campaign,testing_policy,contact_tracing,stringency_index,new_cases_smoothed,new_deaths_smoothed,reproduction_rate,hospital_patients,people_fully_vaccinated_per_hundred,avoid_crowded_areas,year,month,days_since_start,week_index,new_cases_smoothed_lag7,new_cases_smoothed_lag14,new_deaths_smoothed_lag7,new_deaths_smoothed_lag14,reproduction_rate_lag7,reproduction_rate_lag14,hospital_patients_lag7,hospital_patients_lag14,people_fully_vaccinated_per_hundred_lag7,people_fully_vaccinated_per_hundred_lag14,stringency_index_lag7,stringency_index_lag14,mask_policy_lag7,mask_policy_lag14,stay_home_requirement_lag7,stay_home_requirement_lag14,gathering_restriction_lag7,gathering_restriction_lag14,cancel_public_events_lag7,cancel_public_events_lag14,policy_x_cases,risk_x_trust
2020-04-01,44,Male,2,Not working - looking for work,7,4,3,7,4,0.0,4.0,2.0,1.0,2.0,1.0,2.0,71.3,389.71,1.0,1.09,441.0,0.0,5,2020,4,0,1,118.86,25.57,0.29,0.43,2.02,2.45,426.0,426.0,0.0,0.0,71.3,36.11,0.0,0.0,1.0,0.0,4.0,2.0,2.0,2.0,27786.322999999997,21
2020-04-01,66,Male,1,Retired,7,4,3,7,4,0.0,4.0,2.0,1.0,2.0,1.0,2.0,71.3,389.71,1.0,1.09,441.0,0.0,4,2020,4,0,1,118.86,25.57,0.29,0.43,2.02,2.45,426.0,426.0,0.0,0.0,71.3,36.11,0.0,0.0,1.0,0.0,4.0,2.0,2.0,2.0,27786.322999999997,21
2020-04-01,22,Male,3,Working part time (8-34 hours a week),7,4,3,7,4,0.0,4.0,2.0,1.0,2.0,1.0,2.0,71.3,389.71,1.0,1.09,441.0,0.0,5,2020,4,0,1,118.86,25.57,0.29,0.43,2.02,2.45,426.0,426.0,0.0,0.0,71.3,36.11,0.0,0.0,1.0,0.0,4.0,2.0,2.0,2.0,27786.322999999997,21
2020-04-01,45,Male,3,Working full time (35 or more hours per week),7,4,3,7,4,0.0,4.0,2.0,1.0,2.0,1.0,2.0,71.3,389.71,1.0,1.09,441.0,0.0,4,2020,4,0,1,118.86,25.57,0.29,0.43,2.02,2.45,426.0,426.0,0.0,0.0,71.3,36.11,0.0,0.0,1.0,0.0,4.0,2.0,2.0,2.0,27786.322999999997,21
2020-04-01,42,Female,3,Working part time (8-34 hours a week),7,4,3,7,4,0.0,4.0,2.0,1.0,2.0,1.0,2.0,71.3,389.71,1.0,1.09,441.0,0.0,5,2020,4,0,1,118.86,25.57,0.29,0.43,2.02,2.45,426.0,426.0,0.0,0.0,71.3,36.11,0.0,0.0,1.0,0.0,4.0,2.0,2.0,2.0,27786.322999999997,21
2020-04-01,50,Male,4,Working full time (35 or more hours per week),7,4,3,7,4,0.0,4.0,2.0,1.0,2.0,1.0,2.0,71.3,389.71,1.0,1.09,441.0,0.0,4,2020,4,0,1,118.86,25.57,0.29,0.43,2.02,2.45,426.0,426.0,0.0,0.0,71.3,36.11,0.0,0.0,1.0,0.0,4.0,2.0,2.0,2.0,27786.322999999997,21
2020-04-01,48,Male,3,Working full time (35 or more hours per week),7,4,3,7,4,0.0,4.0,2.0,1.0,2.0,1.0,2.0,71.3,389.71,1.0,1.09,441.0,0.0,2,2020,4,0,1,118.86,25.57,0.29,0.43,2.02,2.45,426.0,426.0,0.0,0.0,71.3,36.11,0.0,0.0,1.0,0.0,4.0,2.0,2.0,2.0,27786.322999999997,21
2020-04-01,40,Female,2,Working full time (35 or more hours per week),7,4,3,7,4,0.0,4.0,2.0,1.0,2.0,1.0,2.0,71.3,389.71,1.0,1.09,441.0,0.0,2,2020,4,0,1,118.86,25.57,0.29,0.43,2.02,2.45,426.0,426.0,0.0,0.0,71.3,36.11,0.0,0.0,1.0,0.0,4.0,2.0,2.0,2.0,27786.322999999997,21
2020-04-01,67,Male,2,Working full time (35 or more hours per week),7,4,3,7,4,0.0,4.0,2.0,1.0,2.0,1.0,2.0,71.3,389.71,1.0,1.09,441.0,0.0,5,2020,4,0,1,118.86,25.57,0.29,0.43,2.02,2.45,426.0,426.0,0.0,0.0,71.3,36.11,0.0,0.0,1.0,0.0,4.0,2.0,2.0,2.0,27786.322999999997,21
2020-04-01,56,Male,2,Retired,7,4,3,7,4,0.0,4.0,2.0,1.0,2.0,1.0,2.0,71.3,389.71,1.0,1.09,441.0,0.0,5,2020,4,0,1,118.86,25.57,0.29,0.43,2.02,2.45,426.0,426.0,0.0,0.0,71.3,36.11,0.0,0.0,1.0,0.0,4.0,2.0,2.0,2.0,27786.322999999997,21
