date,new_cases_smoothed,new_cases_smoothed_per_million,new_deaths_smoothed,reproduction_rate,people_fully_vaccinated_per_hundred,hospital_patients,icu_patients
2020-01-05,0.0,0.0,0.0,2.18,0.0,426.0,82.0
2020-01-06,0.0,0.0,0.0,2.18,0.0,426.0,82.0
2020-01-07,0.0,0.0,0.0,2.18,0.0,426.0,82.0
2020-01-08,0.0,0.0,0.0,2.18,0.0,426.0,82.0
2020-01-09,0.0,0.0,0.0,2.18,0.0,426.0,82.0
2020-01-10,0.0,0.0,0.0,2.18,0.0,426.0,82.0
2020-01-11,0.0,0.0,0.0,2.18,0.0,426.0,82.0
2020-01-12,0.0,0.0,0.0,2.18,0.0,426.0,82.0
2020-01-13,0.0,0.0,0.0,2.18,0.0,426.0,82.0
2020-01-14,0.0,0.0,0.0,2.18,0.0,426.0,82.0
2020-01-15,0.0,0.0,0.0,2.18,0.0,426.0,82.0
2020-01-16,0.0,0.0,0.0,2.18,0.0,426.0,82.0
2020-01-17,0.0,0.0,0.0,2.18,0.0,426.0,82.0
2020-01-18,0.0,0.0,0.0,2.18,0.0,426.0,82.0
2020-01-19,0.0,0.0,0.0,2.18,0.0,426.0,82.0
2020-01-20,0.0,0.0,0.0,2.18,0.0,426.0,82.0
2020-01-21,0.0,0.0,0.0,2.18,0.0,426.0,82.0
2020-01-22,0.0,0.0,0.0,2.18,0.0,426.0,82.0
2020-01-23,0.0,0.0,0.0,2.18,0.0,426.0,82.0
2020-01-24,0.0,0.0,0.0,2.18,0.0,426.0,82.0
2020-01-25,0.0,0.0,0.0,2.18,0.0,426.0,82.0
2020-01-26,0.57,0.02,0.0,2.18,0.0,426.0,82.0
2020-01-27,0.57,0.02,0.0,2.18,0.0,426.0,82.0
2020-01-28,0.57,0.02,0.0,2.18,0.0,426.0,82.0
2020-01-29,0.57,0.02,0.0,2.18,0.0,426.0,82.0
2020-01-30,0.57,0.02,0.0,2.18,0.0,426.0,82.0
2020-01-31,0.57,0.02,0.0,2.18,0.0,426.0,82.0
2020-02-01,0.57,0.02,0.0,2.18,0.0,426.0,82.0
2020-02-02,1.14,0.04,0.0,2.18,0.0,426.0,82.0
2020-02-03,1.14,0.04,0.0,2.18,0.0,426.0,82.0
2020-02-04,1.14,0.04,0.0,2.18,0.0,426.0,82.0
2020-02-05,1.14,0.04,0.0,2.18,0.0,426.0,82.0
2020-02-06,1.14,0.04,0.0,2.18,0.0,426.0,82.0
2020-02-07,1.14,0.04,0.0,2.18,0.0,426.0,82.0
2020-02-08,1.14,0.04,0.0,2.18,0.0,426.0,82.0
2020-02-09,0.43,0.02,0.0,2.18,0.0,426.0,82.0
2020-02-10,0.43,0.02,0.0,2.18,0.0,426.0,82.0
2020-02-11,0.43,0.02,0.0,2.18,0.0,426.0,82.0
2020-02-12,0.43,0.02,0.0,2.18,0.0,426.0,82.0
2020-02-13,0.43,0.02,0.0,2.18,0.0,426.0,82.0
2020-02-14,0.43,0.02,0.0,2.18,0.0,426.0,82.0
2020-02-15,0.43,0.02,0.0,2.18,0.0,426.0,82.0
2020-02-16,0.0,0.0,0.0,2.18,0.0,426.0,82.0
2020-02-17,0.0,0.0,0.0,2.18,0.0,426.0,82.0
2020-02-18,0.0,0.0,0.0,2.18,0.0,426.0,82.0
2020-02-19,0.0,0.0,0.0,2.18,0.0,426.0,82.0
2020-02-20,0.0,0.0,0.0,2.18,0.0,426.0,82.0
2020-02-21,0.0,0.0,0.0,2.18,0.0,426.0,82.0
2020-02-22,0.0,0.0,0.0,2.18,0.0,426.0,82.0
2020-02-23,1.0,0.04,0.0,2.18,0.0,426.0,82.0
